Date,Location,Crime_Type,Incidents_Reported
2015-01-01,Downtown,Theft,6
2015-01-01,Downtown,Assault,3
2015-01-01,Downtown,Burglary,5
2015-01-01,Downtown,Vandalism,3
2015-01-01,Downtown,Fraud,4
2015-01-01,Downtown,Drug Offense,4
2015-01-01,Suburb,Theft,7
2015-01-01,Suburb,Assault,4
2015-01-01,Suburb,Burglary,7
2015-01-01,Suburb,Vandalism,4
2015-01-01,Suburb,Fraud,3
2015-01-01,Suburb,Drug Offense,3
2015-01-01,Rural Area,Theft,2
2015-01-01,Rural Area,Assault,2
2015-01-01,Rural Area,Burglary,1
2015-01-01,Rural Area,Vandalism,8
2015-01-01,Rural Area,Fraud,6
2015-01-01,Rural Area,Drug Offense,6
2015-01-01,City Center,Theft,4
2015-01-01,City Center,Assault,4
2015-01-01,City Center,Burglary,7
2015-01-01,City Center,Vandalism,2
2015-01-01,City Center,Fraud,4
2015-01-01,City Center,Drug Offense,5
2015-01-01,Industrial Zone,Theft,7
2015-01-01,Industrial Zone,Assault,4
2015-01-01,Industrial Zone,Burglary,5
2015-01-01,Industrial Zone,Vandalism,3
2015-01-01,Industrial Zone,Fraud,6
2015-01-01,Industrial Zone,Drug Offense,7
2015-01-02,Downtown,Theft,5
2015-01-02,Downtown,Assault,4
2015-01-02,Downtown,Burglary,3
2015-01-02,Downtown,Vandalism,8
2015-01-02,Downtown,Fraud,7
2015-01-02,Downtown,Drug Offense,6
2015-01-02,Suburb,Theft,2
2015-01-02,Suburb,Assault,6
2015-01-02,Suburb,Burglary,3
2015-01-02,Suburb,Vandalism,2
2015-01-02,Suburb,Fraud,1
2015-01-02,Suburb,Drug Offense,5
2015-01-02,Rural Area,Theft,6
2015-01-02,Rural Area,Assault,5
2015-01-02,Rural Area,Burglary,6
2015-01-02,Rural Area,Vandalism,2
2015-01-02,Rural Area,Fraud,3
2015-01-02,Rural Area,Drug Offense,7
2015-01-02,City Center,Theft,7
2015-01-02,City Center,Assault,4
2015-01-02,City Center,Burglary,6
2015-01-02,City Center,Vandalism,5
2015-01-02,City Center,Fraud,5
2015-01-02,City Center,Drug Offense,3
2015-01-02,Industrial Zone,Theft,7
2015-01-02,Industrial Zone,Assault,7
2015-01-02,Industrial Zone,Burglary,8
2015-01-02,Industrial Zone,Vandalism,4
2015-01-02,Industrial Zone,Fraud,7
2015-01-02,Industrial Zone,Drug Offense,6
2015-01-03,Downtown,Theft,1
2015-01-03,Downtown,Assault,8
2015-01-03,Downtown,Burglary,6
2015-01-03,Downtown,Vandalism,7
2015-01-03,Downtown,Fraud,4
2015-01-03,Downtown,Drug Offense,8
2015-01-03,Suburb,Theft,6
2015-01-03,Suburb,Assault,6
2015-01-03,Suburb,Burglary,4
2015-01-03,Suburb,Vandalism,5
2015-01-03,Suburb,Fraud,6
2015-01-03,Suburb,Drug Offense,1
2015-01-03,Rural Area,Theft,6
2015-01-03,Rural Area,Assault,5
2015-01-03,Rural Area,Burglary,4
2015-01-03,Rural Area,Vandalism,1
2015-01-03,Rural Area,Fraud,4
2015-01-03,Rural Area,Drug Offense,3
2015-01-03,City Center,Theft,7
